
Mes: February | Año: 2024
+----------------------+----------+--------------------+
|         Item         | Cantidad |       Total        |
+----------------------+----------+--------------------+
|    BEBER F SILVES    |    1     |        1.45        |
|       COLIFLOR       |    1     |        2.1         |
|  GALLETITAS SALADAS  |    1     |        1.3         |
|   MIX FRUTOS ROJOS   |    1     |        1.54        |
|   PECHUGA FAMILIAR   |    1     |        7.64        |
|      TROPICAL S      |    1     |        0.7         |
|          kg          |   264    |        1.26        |
|        TOTAL         |          |       15.99        |
|        HELADO        |    1     |        2.85        |
|    HUEVOS GRANDES    |   112    |        2.2         |
|  HUEVOS SUPER GRAN   |   112    |        3.25        |
|      LECHE DESN      |    2     |        1.25        |
|  QUITAGRASA CITRICO  |    1     |        1.45        |
|   RECIPIENTES RECT   |    14    |        2.4         |
|      TROPICAL S      |    1     |        0.7         |
|        TOTAL         |          |        14.1        |
|        NACHOS        |    1     |        0.9         |
|          kg          |   506    |        1.5         |
|        TOTAL         |          |        2.4         |
|     BEBER FRESA      |    1     |        1.45        |
|    BOLSA PLASTICO    |    1     |        0.15        |
|   GRIEGO NATURAL P   |    1     |        1.6         |
|       JAMON C        |    1     |        2.04        |
| PAN BLANCO FAMILIAR  |    1     |        1.25        |
|    SALSA MEXICANA    |    1     |        1.25        |
|      TROPICAL S      |    2     |        0.7         |
|        TOTAL         |          | 8.440000000000001  |
|   ARROZ VAPORIZADO   |    1     |        1.54        |
|    BOLSA PLASTICO    |    1     |        0.15        |
|   PECHUGA FAMILIAR   |    1     |        7.49        |
| QUESO BLANCO NATURAL |    1     |        2.74        |
|      TROPICAL S      |    2     |        0.7         |
|        TOTAL         |          | 12.620000000000001 |
|         PAT          |    1     |        1.75        |
|  ROLLO HOGAR DOBLE   |    1     |        2.2         |
|          kg          |   538    |        1.53        |
|        TOTAL         |          |        5.48        |
|    BEBER F SILVES    |    1     |        1.45        |
|      GUACAMOLE       |    1     |        1.75        |
| JAMON JUGOSO LONCHAS |    1     |        1.82        |
|      LECHE DESN      |    3     |        1.25        |
|   PECHUGA FAMILIAR   |    1     |        7.23        |
|   Q RALLADO FUNDIR   |    1     |        2.05        |
|      TROPICAL S      |    3     |        0.7         |
|        TOTAL         |          |       16.25        |
|    BOLSA PLASTICO    |    2     |        0.15        |
|   COMINOS MOLIDOS    |    1     |        1.2         |
|   GRIEGO NATURAL P   |    1     |        1.6         |
|      GUACAMOLE       |    1     |        3.59        |
|    HUEVOS GRANDES    |   112    |        2.2         |
|  HUEVOS SUPER GRAN   |   112    |        3.25        |
|       KETCHUP        |    1     |        1.3         |
|      LECHE DESN      |    2     |        1.25        |
|   MIX FRUTOS ROJOS   |    1     |        1.54        |
|        NACHOS        |    1     |        0.9         |
|   PECHUGA FAMILIAR   |    1     |        7.79        |
|          Q           |    1     |        1.68        |
|    SALSA RANCHERA    |    1     |        1.35        |
|      TROPICAL S      |    2     |        0.7         |
|          kg          |   184    |        0.18        |
|        TOTAL         |          |       28.68        |
|      BRONCHALES      |    4     |        1.26        |
|        TOTAL         |          |        1.26        |
|    BOLSA PLASTICO    |    1     |        0.15        |
| GALLETAS MANTEQUILLA |    1     |        2.85        |
| JAMON JUGOSO LONCHAS |    1     |        1.82        |
| QUESO BLANCO NATURAL |    1     |        2.74        |
|      TROPICAL S      |    2     |        0.7         |
|          kg          |   450    |        1.45        |
|        TOTAL         |          | 9.709999999999999  |
|   ARROZ VAPORIZADO   |    1     |        1.54        |
|     AVENA MOLIDA     |    1     |        1.11        |
|       CERVEZA        |    3     |        0.82        |
|       CRACKERS       |    1     |        1.95        |
|   PECHUGA FAMILIAR   |    1     |        7.25        |
|     PIZZA JAMON      |    1     |        3.5         |
| QUESO RALLADO GOUDA  |    1     |        1.44        |
|        TOTAL         |          |       17.61        |
| BARR MUESLI FRUT SEC |    1     |        1.65        |
